creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2016-12-11 13:00:57,"""京东物流快服务好，格力品牌真的不错，安装师傅态度好，很热情，顾客非常满意，点赞","71,""afterDays"":0", 13,true,"""7***军""","""正1.5匹""","""品圆变频挂机""",false,5,1,"""来自京东Android客户端""","""钻石会员""",""""""
2017-01-21 14:45:43,"""看着很轻巧，很好看。安装师傅服务非常好，安装好后收拾的很干净。","21,""afterDays"":0", 14,true,"""g***7""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2017-04-05 21:30:36,"""第一次网购空调，格力的装机师傅特别给力，没有等待，装机专业快速。","1,""afterDays"":0", 21,true,"""K***9""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""湖南"""
2017-02-19 15:12:50,"""配送超级给力，不错我们家里电器都是京东上买的，这个空调制热也不错、","17,""afterDays"":0", 15,true,"""j***d""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""北京"""
2017-01-19 18:12:31,"""速度没的说 快，安装快！！","5,""afterDays"":0", 18,true,"""清***1""","""正1.5匹""","""品圆变频挂机""",true,5,2,"""来自京东Android客户端""","""银牌会员""","""山东"""
2016-11-06 19:34:01,"""物流速度快，东西也不错。","30,""afterDays"":0", 19,true,"""a***n""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东iPhone客户端""","""钻石会员""","""北京"""
2016-11-06 08:18:11,"""不错的选择，格力空调可以","4,""afterDays"":0", 08,true,"""j***1""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2016-11-06 09:06:16,"""格力空调确实好用，赞一个","48,""afterDays"":0", 09,true,"""j***c""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""PLUS会员""",""""""
2016-11-05 21:27:40,"""非常好，下次还会继续购买","91,""afterDays"":0", 21,true,"""y***8""","""正1.5匹""","""品圆变频挂机""",true,5,1,"""来自京东Android客户端""","""钻石会员""","""江苏"""
2016-11-06 08:25:43,"""空调比较好，售后也比较好","11,""afterDays"":0", 08,true,"""j***x""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东iPhone客户端""","""银牌会员""","""吉林"""
2016-11-06 23:35:29,"""还不错  满意  服务挺好的","30,""afterDays"":0", 23,true,"""刘***司""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""钻石会员""","""山东"""
2016-11-06 12:02:49,"""安装师傅特别用心，很好","4,""afterDays"":0", 12,true,"""q***0""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2016-11-06 14:51:10,"""服务质量好，态度好，赞","6,""afterDays"":0", 14,true,"""j***u""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016-11-06 12:02:23,"""空调不错，到货及时。","5,""afterDays"":0", 12,true,"""h***4""","""正1.5匹""","""品圆变频挂机""",true,5,0,"""来自京东Android客户端""","""钻石会员""","""浙江"""
