creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2017-04-07 22:25:19,"""价格比商场便宜多了，老板服务到位相信美的相信京东、物流超给力服务到家，给个好评五星，下次还会买""","2,""afterDays"":3", 22,true,"""j***y""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-04-08 18:03:01,"""制热快，超静音。相信美的，相信品牌的力量。尤其是送货和安装的师傅，服务非常热情周到，处处为客户着想，赞一个。""","4,""afterDays"":0", 18,true,"""s***o""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""江苏"""
2017-03-17 10:47:58,"""这款空调的外观非常漂亮，也很时尚，功能很齐全，从内容介绍上来看，这款机子的感应性能也很好，嗯，只不过现在机器因为其他的原因还没有安装好，嗯，装完以后我再做追评！""","13,""afterDays"":0", 10,true,"""6***7""","""正1.5匹""","""智弧变频""",false,5,3,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-08 12:56:59,"""不得不说，京东的服务是越来越好了，送货及时，安装省心到位！美的的空调我还是放心的，上次的柜机用了10年，没出过一次毛病。在此表扬安装师傅，服务态度一流，安装技术一流，还会再来的。""","2,""afterDays"":0", 12,true,"""b***s""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""陕西"""
2017-03-15 13:40:41,"""运气比较好，秒杀到了，还送10年保修，赚到啦。需要的朋友快下单哦，超喜欢这款机子的挂机，超满意啦""","3,""afterDays"":0", 13,true,"""周***0""","""正1.5匹""","""智弧变频""",false,5,1,"""来自京东Android客户端""","""银牌会员""","""四川"""
2017-03-18 18:20:02,"""感谢京东啊，让我确实节约了不少钱，京东送货快，服务态度很好，产品质量杠杠滴，没话说，以后都会在京东消费了。""","3,""afterDays"":0", 18,true,"""5***4""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东Android客户端""","""PLUS会员""",""""""
2017-03-16 14:48:27,"""买了两个，一台挂机一台柜机，物流和安装都很快，感谢工人师傅们，期待着机器的表现""","5,""afterDays"":0", 14,true,"""捞***啦""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""山东"""
2017-04-07 17:19:48,"""质量不错，外观简单大气，美的品牌还是非常好的。家里人非常喜欢！给国货点赞！""","9,""afterDays"":0", 17,true,"""翡***主""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""陕西"""
2017-03-11 23:13:30,"""空调质量很好，静音，美观，制冷快，制热要等冬天再试，美的的安装售后服务人员态度很好，技术过硬，一次很好的购物体验。""","6,""afterDays"":0", 23,true,"""j***o""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-04-07 07:04:58,"""给父母买的。非常满意，声音很小，功能很强大制热很快！家电一直选择京东。""","46,""afterDays"":0", 07,true,"""不***精""","""正1.5匹""","""智弧变频""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
