ProductID,price,PreferentialPrice
729213,339,199
877689,598,239
1072238,199,109
968764,499,199
969855,599,199
2718810,299,99
2933664,599,259
4224124,299,199
1081982,129,69
1230739,339,219
1592526573,210,169
3396573,499,239
3059256,299,129
729171,199,169
1254257,299,169
1161131,199,89
617068,119,99
4534615,299,199
11175701054,399,239
4731019,299,199
1284087,199,179
3396523,599,199
10053317834,250,238
968231,259,179
1582013,99,59
1230707,189,179
2574918,399,199
3786814,1099,439
3026443,269,189
1595472228,239,199
2291888,598,139
1908306,269,99
2433827,399,199
3907324,399,188
966143,599,269
3786840,299,109
10338458934,228,168
3067587,399,299
13372038066,399,199
14936100804,490,199
3453735,399,199
1102250,229,89
1100038,627,199
2816565,299,169
963581,239,89
1011756,798,219
3133361,399,188
10778083220,199,158
287212,149,79
12263864819,698,199
10459951713,228,178
1118819372,318,181
1977744,599,399
10056655129,320,298
10108142435,399,158
1162136,219,89
1605630,239,99
2728816,699,329
2434031,258,159
10092376117,399,219
3180071,219,169
11276348987,239,199
10311675880,499,199
10648723256,389,199
1908303,299,109
3826834,699,299
11391273883,198,168
4245949,369,199
1421986,399,299
10747319932,599,198
3116152,239,179
1786549,699,169
1334511,499,239
1035839,299,129
10453085414,328,148
15496580178,399,169
4611704,159,99
1544404718,268,208
10559231403,299,199
16501245807,399,199
3569775,299,199
12277051034,299,259
1771087,249,129
4664146,299,239
10540453474,268,178
1561850909,499,159
12286437681,488,299
14948925363,309,189
12338054383,219,159
12965551299,398,199
10989613661,599,199
11718228481,269,199
10763897640,299,199
10860980158,599,188
4918596,199,149
1278560,79,39.9
5506694,299,239
13308966002,168,148
14494624151,399,239
200807,149,79
10641278387,299,159
1715127,399,299
10516298873,117,39.9
11816226706,599,149
10778083219,199,158
10021691768,388,168
3026369,199,66.9
1786566,399,299
1431601,199,99
4224106,199,99
1001379,169,119
2765619,199,69
1447319,299,89
1038639,168,59
10338437184,268,188
1637825924,1199,158
13180426837,210,169
4234830,599,279
12263691051,698,199
15200669560,195,159
3980624,999,339
1421970,399,299
1213863,799,690
10338437183,268,178
880516,199,79
3011732,299,149
13728889818,399,199
10329595874,76,39
10920684500,266,179
2154141,249,119
4954822,259,199
10008603464,249,219
641729,199,139
1595218514,288,223
12280289412,299,249
1676156851,300,265
3116150,259,199
10745305625,339,159
1080661,699,408
5189300,409,239
10559231407,299,199
3221910,299,99
3701797,1299,799
4764260,299,159
1786579,399,299
4074069,269,239
4064130,568,198
11404302930,249,219
12994276547,269,199
1140625,299,159
1587780514,450,388
1285328,139,89
943378,288,69
1557392096,599,208
11338843436,259,219
2194386,299,99
1117383627,468,198
1334510,299,119
1995390845,289,199
3262435,199,79
664554,1399,1099
1954360106,1299,588
1358001,699,448
2865132,399,169
1001375,159,109
1801460,299,99
990687,159,69
1908296,299,129
1694819161,1500,369
12319776183,239,199
4215229,499,369
1977740,299,139
1303547,1599,649
12045227203,499,199
943371,199,109
2020781,319,119
4281070,99,69
1117277049,138,59
2470289,199,139
10395079814,200,178
1592855364,236,156
515273,199,99
11155266070,269,199
13180412601,239,199
3289005,299,139
16281019521,228,188
863383,99,59
11085202221,299,169
1100065006,499,219
16559350528,399,219
2909092,199,149
12301867428,89,79
3564409,899,499
13973158613,299,169
10513732512,490,480
5055698,159,59
3218772,399,129
4776124,199,109
16281019520,228,178
10389510656,249,89
11253524091,119,99
13242205051,199,188
1694819162,1500,398
989744,368,109
3059761,399,299
1504044966,598,398
1587774830,380,285
729168,249,139
1117668850,598,261
11867443764,399,199
4764278,499,299
13133697998,299,149
1549543888,468,284
2817882,799,468
4293482,499,399
943369,179,79
12174812618,269,159
14611158653,399,199
1595445860,270,238
10658784927,630,298
10335522128,499,168
2742449,899,498
1774265742,199,119
11699344955,165,150
14184722226,239,199
16019434034,199,169
1140624,259,139
10533048030,380,360
788934,798,109
279568,1493,999
1231171,3398,2298
3792149,99,49
1501698,299,109
11927595804,198,198
3478846,199,99
1595131273,270,238
2915202,129,89
2171947,699,399
10859506971,299,219
10069771448,79,39.9
1641103510,298,168
2756508,299,109
10104892867,526,168
1655256270,310,268
3262481,159,69
1503888862,956,598
515272,199,99
3701815,1499,899
14951493033,369,179
3081831,599,199
1592898381,125,69
1504044964,598,398
3652007,299,109
10394463758,999,218
2574619,999,499
4664136,399,119
1662938375,219,169
3571441,1799,369
10807386967,69,36.9
10843074161,300,235
10992247627,298,188
3400377,199,129
13324030419,999,239
1982887881,2388,599
1602796161,598,158
2289190,239,68
17968900025,365,198
11340470188,399,109
1344900563,564,269
5079550,599,159
796377,459,390
10098029713,399,295
15903398598,399,349
11050361771,299,229
3970067,299,139
5186334,699,399
10227671435,549,199
12337247699,399,399
11440782863,259,199
664553,1249,999
5180587,368,299
14188004754,239,199
10559231405,299,199
10592904279,214,159
10632422358,226,148
12718869469,199,199
3559331,299,139
10559231406,299,199
10403735739,599,499
1320838,249,149
12439829911,598,178
11573390378,68,34.8
11122913671,398,198
1331344572,695,316
12552574653,199,159
10163664993,736,368
4052391,599,289
3569821,399,299
10529543939,76,39
3149304,2299,699
10809292971,79,39.8
10243675002,598,373
10022778174,299,168
2956059,299,99
5501502,299,159
17754944957,269,199
18373276632,228,228
18554541593,798,168
18559005715,299,199
17933037128,399,119
18189539204,169,169
18373268332,168,168
18252423246,399,129
18271892963,239,219
18271892964,239,199
18271892965,239,199
18271892966,239,169
18295025280,219,119
18296560766,219,119
18554536261,299,149
18554541592,798,186
17924053733,219,129
17914325132,299,199
17858226700,269,89
17820729886,299,99
17814996735,222,158
18373272591,158,158
18373274127,198,198
17754944959,269,199
17754944958,269,199
18175965950,499,229
18467068013,396,99
18485458940,699,238
18028496068,179,179
18024464661,229,198
18024464660,229,198
18175965951,499,229
18017498856,299,199
18177931695,499,199
18242801339,260,198
17977411348,299,169
18242801338,260,198
18179851499,498,186
18242801337,260,198
17966925346,260,168
18237854531,219,169
17920145810,299,199
17859195971,270,198
17735465675,420,199
18384404113,199,169
18179863802,498,166
17755618501,912,228
18179863803,498,198
11973248395,799,158
10014204104,170,168
12716222762,298,168
11275546832,399,399
10345639197,368,288
10029747783,229,199
12461675314,299,198
1653735732,599,169
2123492,1398,1099
13886900741,598.5,228
1452675,399,169
1698442765,599,199
13242205050,199,188
11826382087,299,199
11928975483,299,239
11803957793,699,398
1577242931,399,178
5171444,300,299
664556,3899,2999
1998216,129,79
10801051459,388,188
10043032684,339,290
10453370332,498,169
1020678,798,129.9
10510795117,199,149
10053238903,320,309
1558536706,299,199
10838412366,298,188
10579592982,499,298
1595097242,360,225
10402995355,168,69
10674393195,1299,549
519600,199,99
1041443116,1098,898
1649104686,399,89
10426895916,299,149
1602432802,339,149
10809292969,79,36.9
10389125732,980,199
16228329607,699,179
12294125062,339,199
3911206,99,59
15390812966,299,198
10488130042,499,159
1625268647,599,259
3569829,199,139
1957404959,1299,649
3268186,199,99
10519565022,799,158
13858824803,599,168
17158842783,699,229
11376063380,299,209
16333968776,259,179
10040189987,678,198
12377306691,299,249
12512491139,298,158
3221920,299,99
1578896146,1018,339
1774203247,189,49.9
10076013927,398,99
11185793368,299,199
1076634273,199,158
17339262907,299,199
1592578655,226,146
1510554795,469,233
10867474163,139,89
11632046746,199,158
1478185858,1000,473
10541153310,499,199
10367523222,2699,699
1703977103,788,499
1789422452,1298,899
4868788,499,439
3662694,399,299
1096549,598,198
10338437185,268,148
1590496719,799,169
12499356042,79,44.9
12514900320,499,298
10540414865,488,198
11226483083,299,179
12510339971,298,198
2236830,338,198
1604604477,199,69
13934952414,59,39.9
10194753806,299,199
10657305771,98,69
12276520206,69,39.8
13728920856,299,199
10637665896,250,239
10602173934,399,198
11767556846,399,239
13892156941,399,158
11443165777,399,349
11785366508,599,389
10694906119,299,129
11243301419,299,139
3129358,199,79
17248405214,799,259
10888363543,799,399
11803957796,699,398
10267232180,599,299
10243350387,798,399
12859851842,869,239
11376063381,299,228
10778347639,485,158
10838412367,298,188
10267307164,599,399
12576881757,248,188
11376063379,299,188
11189737582,399,218
12949986067,1198.1,599
10564946549,210,188
11001696684,500,480
11259632208,299,199
10118327900,258,99
11968930263,348,298
3282592,199,99
10617844919,288,168
10734097071,339,239
10433666531,139,129
11679580863,718,368
10080960561,598,188
13233298101,298,198
10267426417,899,368
10611792620,599,199
10538785535,289,179
13206258024,178,178
16324069614,999,179
13234930691,229,229
10038546722,199,89
10528850377,500,490
15101919648,399,299
13440653314,299,199
10479759494,360,359
11256634357,485,158
11306101169,298,168
15359142552,399,199
11155340267,398,199
16860748812,399,199
11692217715,99,49.9
14980382490,438,169
13233356815,298,179
10570677577,218,198
10585721526,238,138
1119061466,328,178
11619876545,268,219
10861195778,399,169
10404208903,399,79
10609157693,210,199
11290570873,399,199
15064833765,229,199
15230572604,399,199
12399037635,299,198
10114464135,498,148
11289842630,69,36.6
10543426808,249,179
11395132907,338,178
10530524147,399,99
15980755106,499,159
1706856924,1499,899
13235210414,158,158
10358290870,299,89
1954829171,599,199
11249583345,240,208
10733109836,599,199
13858813397,599,219
13237251112,269,199
13676826395,398,199
13973491128,299,199
10807242039,119,59
10115281773,450,399
13511938922,399,199
4682193,199,49
11259563613,399,219
10969426322,599,218
1541199214,298,199
15070785846,199,149
11455345681,399,189
1626666062,199,169
11641670027,399,159
11155167067,199,159
10841548871,299,168
10221294446,299,129
11932179100,299,149
10327282256,399,229
10912975312,299,149
10979660459,599,179
13234346718,229,229
15230572603,399,199
14184221660,299,199
11254788017,475,199
15390812965,299,198
10102806620,299,199
1117636967,538,221
11632617587,299,228
15971181001,499,219
13233178784,299,219
11084613697,699,199
13234930690,229,169
1708976059,179,169
1630614034,280,163
1648561465,399,219
14938064505,299,149
1762463793,326,229
13397663194,398,199
10112374586,899,179
13646009585,180,145
13180659294,200,178
10112634911,299,199
10136422564,499,199
16860748813,399,199
15768834603,598,359
17129494116,399,199
11349245101,199,199
15390568599,399,198
11258655271,238,199
11259563615,399,199
10729205583,399,189
12067657179,259,239
11889542015,798,168
1495973597,268,149
16276339983,289,148
10559116544,238,159
12078259494,369,189
3924302,499,189
11031574184,429,219
16665910134,468,218
13440787866,220,216
989730,558,139
10552161751,198,138
16604003411,299,189
10616637049,499,179
11259632209,299,179
12401101440,499,359
1534316300,268,189
15151217175,239,199
11929118048,399,199
12805665318,399,199
12718264750,199,199
16860748815,399,199
11276341552,299,199
13437379229,299,199
10571403498,199,149
15476303241,672,168
10611874103,599,199
12100065842,279,229
13186547714,188,188
10098064339,268,225
15277476007,399,176
15971181002,499,219
10110845347,399,168
10867759966,359,179
11066079178,599,159
15582094428,468,180
13206258023,178,178
1627182113,439,219
1117680124,508,233
10829063387,592,213
12481847141,250,205
10510402912,269,168
11543530664,168,168
10268151142,399,168
10555511304,188,178
11929333860,188,188
12067140920,399,159
11767161429,239,199
11254823066,475,199
16019579482,299,209
11443749108,399,199
14157219695,299,199
11349087308,259,199
11748365143,599,209
12514811289,399,158
16918841191,299,198
16934748008,299,179
10554747549,899,199
13215650060,219,159
10711394744,299,199
1994188714,999,158
11083933985,368,188
12395483353,299,188
13646009587,180,155
12255245573,258,181
17129995887,299,179
11256640332,580,196
11256640333,580,218
12881206649,199,149
14602095987,399,149
10274542519,159,159
10104205799,349,239
10580045009,326,179
10087736662,399,189
16249897621,398,218
14980382491,438,169
12323146638,248,198
11085431721,280,169
13649040976,229,199
15476303240,672,168
1665384757,399,159
10358463301,499,209
16860748814,399,199
10358460199,499,209
1724993879,299,199
13927059803,315,198
10358460200,499,209
1968012734,899,198
14398961351,199,159
15390568597,399,198
12853587462,399,199
10969426323,599,198
13567425458,250,205
1994188722,999,199
10745375847,399,198
10865484855,999,349
11514376296,259,198
11226899453,299,179
10546658777,298,149
12511383236,268,198
11259632210,299,179
12099638086,399,229
14510393235,299,139
11079392977,299,179
12395483352,299,198
12396288649,399,168
12396288650,399,168
12398058979,499,359
12418259749,360,225
12418259750,360,189
12424499301,199,147
12424499302,199,169
12434004812,399,168
12459770424,238,79
12339151766,399,209
12338551013,359,199
12338365378,219,139
12459770425,238,94
12338205030,199,169
12337791122,299,199
12474746143,348,168
12326357799,298,148
12502392302,299,99
12316738751,199,169
12511091849,398,178
12514811290,399,168
12514811291,399,188
12516198780,399,198
12516198781,399,198
12284861090,299,219
12533257958,259,99
12275342764,168,126
12275259825,199,148
12550390613,315,198
12552833208,599,199
12554542070,299,179
12573017383,195,165
12589276534,249,185
12589385773,249,179
12589630772,299,200
12263344405,399,228
12263344404,399,209
12263344403,399,188
12263233471,368,148
12600626640,199,169
12649760155,299,219
12672685983,368,181
12694868863,399,159
12698897998,698,199
12261607563,399,219
12261607562,399,198
12783099035,478,239
12260033183,259,169
12260033182,259,149
12225615164,699,188
12225615163,699,188
12207264952,149,149
12207103576,168,168
12207086322,178,178
12833183965,699,239
12877662791,599,199
12968365162,358,239
12984718515,269,198
12997054056,468,149
13037014869,598,218
13060948950,259,156
13109221494,399,189
13134218337,352,199
13136353684,218,218
13136924725,178,178
13180737373,210,199
13186565527,499,159
13186748399,198,198
13186748400,198,198
12128262938,240,210
13187777998,198,198
12082466603,198,168
12078992040,288,199
13233298102,298,198
12063313567,359,168
12063313563,359,168
12045700889,249,118
13349259374,299,199
13365088176,218,218
13366958658,298,148
12035281948,319,219
13399739238,199,159
13440783106,210,208
13460281311,168,98
13466994491,338,169
13468719674,299,169
13485331102,439,179
13492149245,150,89
13509085284,200,129
13518592195,198,129
13518592197,198,89
11974989618,229,69.9
13518592198,198,68
13518953851,368,168
13518953853,368,178
13533091320,398,108
11942412762,299,199
11941795289,238,168
13647399551,240,229
11932320705,198,148
11902159710,149,149
11901607816,178,178
13696324395,199,199
11889542016,798,186
13927060226,358.5,229
17239845795,218,198
17208382722,296,178
17203658910,199,169
17198954603,599,218
13927079557,436,218
17020375800,299,199
16915403135,499,89
16889889807,350,199
16860748811,399,199
11839772253,199,169
16807036171,339,219
16806367215,180,149
16806367212,180,149
16806367210,180,159
16792160258,199,169
13927091204,180,158
16792159540,199,168
16792159539,199,148
11825798562,299,159
16792147205,179,148
16792131295,266,199
13940670474,266,199
16703152076,199,99
16650750626,498,228
13940916463,179,148
11802681157,699,258
16650177992,259,178
16616605094,500,140
16615768922,500,188
16615768921,500,209
11769470242,199,146
16615768920,500,228
16614720260,500,198
16614720259,500,219
16614394338,400,147
13942195589,369,228
13971163756,468,158
11749671517,329,219
14024606391,199,169
14025249698,229,229
14125456357,597,199
14181768380,268,158
