p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,Y_type
"
                                    美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇                ",美的绿灯侠专卖店,10913792973,269.00,209.00,9800,98,9600,100,100,美的（Midea）,质量不错 风扇不错 风力很大 安装方便 噪音很小 使用方便 造型美观 遥控方便 安全节能 底座很稳,"美的（Midea）FS40-13GR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇,10913792973, ,5.5kg,FS40-13GR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色                ",美的环境电器旗舰店,11533566845,289.00,209.00,6500,98,6300,90,80,美的（Midea）,噪音很小 风力很大 底座很稳 安全节能 扇网坚固 远程遥控 造型美观 风很柔和 颜色漂亮 电机好,"美的（Midea）FS40-13CR 大风量电风扇/落地扇/智能家用电风扇/遥控风扇美的 黑色,11533566845, ,8.3kg,中国大陆,FS40-13CR,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    艾美特(Airmate) FS40103R 五叶遥控落地扇/电风扇                ",艾美特生活电器旗舰店,3918861,599.00,269.00,24000,97,23000,500,300,艾美特（AIRMATE）,遥控方便 风扇不错 安装方便 风很柔和 噪音很小 造型美观 使用方便 颜色漂亮 远程遥控 风力很大 底座很稳 睡眠风不错 噪音很小 风力很大 风扇不错 颜色漂亮 遥控方便 质量不错 风很柔和 造型美观,"艾美特FS40103R,3918861,7.7kg,中国,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                    华生（Wahson）FS35-C401 电风扇/落地扇/风扇                ",华生旗舰店,4575098,199.00,119.00,26000,97,25000,500,300,华生（Wahson）,风扇不错 安装方便 质量不错 风力很大 使用方便 噪音很小 造型美观 底座很稳 风很柔和 颜色漂亮,"华生FS35-C401,4575098,5.48kg,广东,FS112-35C,无定时,三档调节,正常风,5片,3级,机械式,落地扇",none
"
                                    荣事达（Royalstar）遥控五风叶电风扇/落地扇/五扇叶可升降落地扇JD17Z                ",荣事达（Royalstar）两季品旗舰店,2495894,269.00,139.00,52000,95,50000,1500,900,荣事达（Royalstar）,遥控方便 风扇不错 安装方便 使用方便 质量不错 风力很大 远程遥控 噪音很小 底座很稳 风很柔和,"荣事达FD-40L92（货号：JD17Z）,2495894,6.22kg,中国大陆,JD17Z,2-8小时,三档调节,正常风,5片,2级,遥控式,落地扇",none
"
                                    戴森(Dyson) TP00空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环室内空气 铁蓝                ",戴森官方旗舰店,4840276,4691.00,4690.00,500,96,500,8,10,DYSON,质量不错 颜色漂亮 安全节能 风力很大 安装方便 造型美观 扇网坚固 电机好 遥控方便 底座很稳 质量不错 造型美观 风很柔和 噪音很小 颜色漂亮 风力很大 造型美观 电机好 遥控方便,"DYSONTP00铁蓝,4840276,6.16kg,马来西亚,308775-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，空气循环扇",none
"
                                    戴森(Dyson) TP03空气净化风扇/电风扇/塔扇 净化PM0.1和甲醛+强劲气流 循环空气 塔式智能 银白                ",戴森官方旗舰店,4840262,5191.00,5190.00,200,97,200,4,2,DYSON,安全节能 风扇不错 颜色漂亮 造型美观 安装方便 扇网坚固 使用方便 遥控方便 睡眠风不错 底座很稳 广角送风 适合宝宝 风扇不错 远程遥控 安全节能,"DYSONTP03白银,4840262,5.82kg,马来西亚,308045-01,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,APP控制,落地扇，塔扇，空气循环扇",none
"
                                    美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时                ",美的小家电旗舰店,10329448645,699.00,499.00,1300,96,1200,30,20,美的（Midea）,造型美观 风力很大 质量不错 风扇不错 噪音很小 使用方便 遥控方便 广角送风 颜色漂亮 远程遥控,"美的（Midea）塔扇 风扇 落地扇电风扇 静音预约定时,10329448645, ,7.8kg,中国大陆,21056110000151（FZ10-16BRW）,8小时以上,五档以上,正常风,无叶,3级,遥控式,塔扇",none
"
                                    钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色                ",钻石牌非凡专卖店,11846057188,209.00,149.00,800,95,800,20,10,钻石牌（DIAMOND）,质量不错 安装方便 使用方便 噪音很小 风力很大 风很柔和 风扇不错 底座很稳 扇网坚固 电机好,"钻石牌（DIAMOND）FS－40ⅡF 五叶落地扇/电风扇静音16寸四档调速 黑色,11846057188, ,7.0kg,中国大陆,FS-40II F,2小时以下,四档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",none
"
                                    格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色                ",格力智购专卖店,12401990604,199.00,99.00,1400,96,1400,20,20,格力（GREE）,噪音很小 使用方便 风很柔和 风扇不错 质量不错 睡眠风不错 造型美观 电机好 颜色漂亮 风力很大,"格力(GREE)风扇 台式电风扇鸿运扇转页扇小风扇迷你宿舍台扇定时五叶风扇KYT-2501 浅灰色,12401990604, ,2.6kg,中国大陆,KYT-2501,2小时以下,四档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",none
"
                                    美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇                ",美的环境电器旗舰店,10988055671,399.00,349.00,4800,98,4700,60,70,美的（Midea）,噪音很小 风很柔和 造型美观 安全节能 风力很大 底座很稳 颜色漂亮 远程遥控 扇网坚固 电机好,"美的（Midea）FZ10-15BRW 塔扇无叶风扇电风扇遥控家用静音立式风扇,10988055671, ,4.1kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",none
"
                                    日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色                ",日彩旗舰店,12880202279,169.00,88.00,5600,96,5400,100,100,日彩（ricai）,质量不错 风力很大 风扇不错 安装方便 使用方便 底座很稳 风很柔和 噪音很小 造型美观 安全节能 使用方便 风力很大 电机好 安全节能 睡眠风不错,"日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,12880202279, ,8.9kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",none
"
                                    奥克斯（AUX）FS-40-A1613 电风扇/五扇叶落地扇 蓝色扇叶                ",奥克斯盛世专卖店,11686769351,199.00,129.00,800,93,800,30,20,奥克斯（AUX）,质量不错 安装方便 风力很大 扇网坚固 电机好 风很柔和 风扇不错 安全节能 使用方便 颜色漂亮 质量不错 安全节能 安全节能 扇网坚固 扇网坚固 安全节能,"奥克斯（AUX）FS-40-A1613 电风扇/五扇叶落地扇 蓝色扇叶,11686769351, ,6.3kg,无定时,三档调节,正常风,5片,无,机械式,落地扇",none
"
                                    先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶                ",先锋生活电器旗舰店,10225600578,498.00,159.00,3600,95,3400,90,60,先锋,风扇不错 质量不错 风力很大 安装方便 使用方便 遥控方便 噪音很小 远程遥控 造型美观 底座很稳,"先锋（Singfun）可定时落地立式冷风扇厨房卧室遥控静音大风力电风扇落地扇 DD1312遥控5叶,10225600578, ,6.7kg,0101DD1312-1,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                    英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖                ",QG生活电器旗舰店,10626848028,1999.00,920.00,1900,96,1800,50,20,QG,造型美观 风很柔和 使用方便 质量不错 噪音很小 安全节能 安装方便 风扇不错 遥控方便 底座很稳 质量不错 风很柔和 使用方便 安装方便 底座很稳,"英国QG(QG)AirCool无叶风扇电风扇冷暖空气循环扇家用电扇落地塔扇 冷暖,10626848028, ,3.8kg,中国大陆,2-8小时,五档以上,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",none
"
                                    凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时                ",凯迪电器旗舰店,11916701938,130.00,89.00,3600,92,3300,100,100,凯迪电器,质量不错 风扇不错 噪音很小 风力很大 底座很稳 使用方便 造型美观 安装方便 风很柔和 安全节能 风很柔和,"凯迪 电风扇定时办公室落地扇卧室家用电扇立式静音电扇落地扇 黑色定时,11916701938, ,5.0kg,中国大陆,A14-R,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",none
"
                                    钻石牌(DIAMOND)电风扇/吊扇 1.4米56寸楼顶扇3片叶                ",钻石牌非凡专卖店,11382853922,199.00,159.00,1100,94,1100,30,30,钻石牌（DIAMOND）,质量不错 安装方便 风扇不错 风力很大 噪音很小 使用方便 造型美观 电机好 安全节能 颜色漂亮,"钻石牌(DIAMOND)电风扇/吊扇 1.4米56寸楼顶扇3片叶,11382853922, ,6.0kg,中国大陆,3叶1400MM,无定时,三档调节,正常风、自然风、睡眠风,3片,3级,机械式,吊扇",none
"
                                    赛亿（Shinee）电风扇/台扇/非遥控家用风扇FT30-7                ",赛亿两季品旗舰店,3942001,299.00,79.00,4200,95,3900,100,100,赛亿（Shinee）,安装方便 风力很大 使用方便 风扇不错 质量不错 噪音很小 颜色漂亮 电机好 造型美观 风很柔和 风力很大 质量不错 广角送风 电机好 造型美观,"赛亿FT30-7,3942001,2.61kg,中国大陆,无定时,三档调节,正常风,5片,2级,机械式,台扇",none
"
                                    美的（Midea）FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇                ",美的绿灯侠专卖店,11166367999,379.00,319.00,1500,96,1400,30,30,美的（Midea）,质量不错 造型美观 使用方便 遥控方便 风扇不错 安全节能 风很柔和 噪音很小 风力很大 安装方便,"美的（Midea）FZ10-15BRW 塔扇无叶风扇/智能风扇/遥控电风扇 静音立式风扇,11166367999, ,5.7kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",none
"
                                    先科（SAST）电风扇落地扇升降静音落地风扇家用宿舍电扇 机械款  209                ",先科SAST专卖店,10343440517,269.00,109.00,3400,96,3200,80,60,先科（SAST）,风扇不错 风力很大 使用方便 安装方便 质量不错 噪音很小 底座很稳 造型美观 颜色漂亮 风很柔和 安装方便,"先科（SAST）电风扇落地扇升降静音落地风扇家用宿舍电扇 机械款  209,10343440517, ,6.5kg,中国大陆,2-8小时,三档调节,正常风,5片,2级,机械式,落地扇",none
"
                                    美的（Midea）KYS30-5A 升降转页扇 台式落地扇 定时静音 鸿运电风扇                ",美的护理旗舰店,12477775164,599.00,229.00,400,98,300,9,2,美的,质量不错 噪音很小 风扇不错 底座很稳 安装方便 风很柔和 使用方便 造型美观 电机好 扇网坚固,"美的（Midea）KYS30-5A 升降转页扇 台式落地扇 定时静音 鸿运电风扇,12477775164, ,3.9kg,中国大陆,DS070103MD002,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",none
"
                                      ",EUROHEALTH海外专营店,1956793344,7999.00,3300.00,100,96,100,5,2,None,噪音很小 遥控方便 风扇不错 广角送风 造型美观,"欧洲直邮 戴森Dyson无叶风扇冷暖型AM05/AM09  加湿净化AM10 可遥控 AM09-黑色 冷暖两用（AM05升级款）,1956793344, ,5.0kg,2-8小时,二档调节,正常风,无叶,2级,遥控式,落地扇",none
"
                                    美的（Midea）FZ10-17DW 塔扇无叶风扇/家用电风扇/静音立式风扇 白色                ",美的环境电器旗舰店,11524626939,319.00,269.00,300,92,300,10,10,美的（Midea）,安装方便 广角送风 风力很大 质量不错 造型美观 颜色漂亮 使用方便 风扇不错 睡眠风不错 噪音很小 质量不错 造型美观 广角送风 安装方便 使用方便 风力很大 安装方便 风扇不错,"美的（Midea）FZ10-17DW 塔扇无叶风扇/家用电风扇/静音立式风扇 白色,11524626939, ,4.6kg,中国大陆,FZ10-17DW,2小时以下,三档调节,正常风、自然风、睡眠风,无叶,1级,机械式,塔扇",none
"
                                    水田MF09G空气循环对流扇 电风扇 台式 静音 遥控 台扇 家用 定时 9寸 日本涡轮 FSQ-MF09G-白色                ",水田旗舰店,1588385579,398.00,298.00,1400,96,1300,30,10,水田,质量不错 风扇不错 使用方便 风力很大 遥控方便 底座很稳 噪音很小 造型美观 安装方便 风很柔和 遥控方便 风力很大,"水田MF09G空气循环对流扇 电风扇 台式 静音 遥控 台扇 家用 定时 9寸 日本涡轮 FSQ-MF09G-白色,1588385579, ,3.7kg,FSQ-MF09G,8小时以上,四档调节,正常风,3片,2级,遥控式,落地扇，台扇，空气循环扇",none
"
                                    欧麦斯(OUMAISI)Air-H5 无叶风扇 电风扇 落地家用电扇台扇塔扇 月光白                ",欧麦斯旗舰店,10437854366,2080.00,549.00,2900,97,2800,70,20,欧麦斯（OUMAISI）,造型美观 风很柔和 安全节能 风力很大 底座很稳 噪音很小 颜色漂亮 适合宝宝 电机好 远程遥控 安装方便 使用方便 扇网坚固 质量不错 造型美观 质量不错 颜色漂亮 风很柔和 适合宝宝 使用方便 遥控方便,"欧麦斯(OUMAISI)Air-H5 无叶风扇 电风扇 落地家用电扇台扇塔扇 月光白,10437854366, ,4.0kg,2小时以下,无极变速,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇，台扇，空气循环扇",none
"
                                    艾美特(Airmate)电风扇 吊扇 吸顶扇 纯铜电机1.4米56吋 家用楼顶扇                ",艾美特子云专卖店,1547674827,229.00,149.00,2900,92,2600,100,100,艾美特（AIRMATE）,质量不错 风扇不错 风力很大 安装方便 使用方便 电机好 噪音很小 造型美观 风很柔和 安全节能 使用方便 风力很大 质量不错 质量不错,"艾美特(Airmate)电风扇 吊扇 吸顶扇 纯铜电机1.4米56吋 家用楼顶扇,1547674827, ,3.0kg,1.4米吊扇,无定时,五档调节,正常风,3片,3级,机械式,吊扇",none
"
                                    美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇                ",美的小家电旗舰店,12281948611,499.00,489.00,800,95,800,20,10,美的（Midea）,安装方便 睡眠风不错 颜色漂亮 质量不错 使用方便 造型美观 风扇不错 噪音很小 风很柔和 遥控方便,"美的（Midea）电风扇遥控落地家用台式无叶静音立式壁扇轻奢塔扇,12281948611, ,6.7kg,21056110000231（FZ10-17ARW）,8小时以上,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",none
"
                                    艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗                ",艾美特旗舰店,11956390126,5490.00,419.00,600,94,500,20,20,艾美特（AIRMATE）,风很柔和 安装方便 噪音很小 遥控方便 风扇不错 使用方便 造型美观 睡眠风不错 颜色漂亮 广角送风 风扇不错 睡眠风不错 噪音很小 遥控方便,"艾美特（AIRMATE）【到手价419】FT70R电风扇塔扇家用塔式无叶落地扇 静音拆洗,11956390126, ,3.7kg,FT70R,8小时以上,五档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",none
"
                                    艾美特(Airmate) FS40105QR 五叶遥控驱蚊扇/落地扇/电风扇                ",艾美特生活电器旗舰店,4533800,799.00,699.00,2300,96,2300,60,30,艾美特（AIRMATE）,风力很大 质量不错 安装方便 遥控方便 风扇不错 底座很稳 造型美观 噪音很小 使用方便 风很柔和 远程遥控 安全节能 遥控方便,"艾美特FS40105QR,4533800,8.5kg,中国,8小时以上,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶                ",艾美特子云专卖店,1540230565,799.00,239.00,1400,96,1400,20,30,艾美特（AIRMATE）,风扇不错 安装方便 质量不错 噪音很小 风力很大 使用方便 遥控方便 风很柔和 远程遥控 造型美观 质量不错 广角送风 扇网坚固 睡眠风不错 使用方便,"艾美特(Airmate)遥控壁扇 FW3521R电风扇家用节能14吋摇头壁挂5片叶,1540230565, ,4.3kg,FW3521R,2-8小时,三档调节,正常风,5片,1级,遥控式,壁扇",none
"
                                    艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA                ",艾美特旗舰店,10502318585,2190.00,249.00,700,89,600,40,40,艾美特（AIRMATE）,风扇不错 遥控方便 安装方便 风力很大 噪音很小 使用方便 质量不错 造型美观 风很柔和 广角送风,"艾美特(Airmate)【到手价199】五叶遥控落地扇/电风扇FS4092R-WA,10502318585, ,8.7kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                      ",EUROHEALTH海外专营店,1978550025,6999.00,4268.00,30,100,30,0,0,None,质量不错 质量不错,"戴森（Dyson）HP01 HP02 三合一无叶空气净化冷暖器 暖风冷风净化器无叶风扇 HP02 银白色 冷暖风+净化+APP智能遥控,1978550025, ,3.54kg,2小时以下,五档以上,正常风、自然风、睡眠风,无叶,5级,APP控制,落地扇",none
"
                                    艾美特(Airmate)电风扇金属叶五片静音吸顶扇1.4米吊扇 FZ5609楼顶扇                ",艾美特子云专卖店,10073933741,500.00,279.00,1400,94,1300,40,40,艾美特（AIRMATE）,风力很大 风扇不错 质量不错 噪音很小 造型美观 电机好 使用方便 安装方便 扇网坚固 风很柔和 风力很大 噪音很小,"艾美特(Airmate)电风扇金属叶五片静音吸顶扇1.4米吊扇 FZ5609楼顶扇,10073933741, ,9.5kg,FZ5609,无定时,五档调节,正常风,5片,3级,机械式,吊扇",none
"
                                    英国QG(QG) Air x7无叶风扇电风扇（全新技术款）空气净化器循环扇塔扇落地扇 黑蓝 蓝黑【全新技术款】                ",QG生活电器旗舰店,13646910904,3980.00,2780.00,80,99,80,1,0,QG,噪音很小 安装方便 远程遥控 扇网坚固 安全节能 颜色漂亮 风很柔和 质量不错 风力很大 适合宝宝 安全节能,"英国QG(QG) Air x7无叶风扇电风扇（全新技术款）空气净化器循环扇塔扇落地扇 黑蓝 蓝黑【全新技术款】,13646910904, ,4.5kg,8小时以上,无极变速,正常风、自然风,无叶,1级,遥控式,落地扇，塔扇",none
"
                                    格力(GREE)电风扇落地扇家用静音定时5叶大风量FD-4027h5-WG 白色                ",格力威铭专卖店,10194646155,299.00,189.00,3900,97,3800,80,50,格力（GREE）,噪音很小 风很柔和 风力很大 安装方便 风扇不错 造型美观 质量不错 底座很稳 使用方便 颜色漂亮 造型美观 风扇不错 风很柔和 颜色漂亮,"格力(GREE)电风扇落地扇家用静音定时5叶大风量FD-4027h5-WG 白色,10194646155, ,7.5kg,FD-4027h5-WG,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",none
"
                                    【京东配送】IRIS爱丽思空气循环扇迷你电风扇家用静音台扇遥控定时摇头扇PCF-C15TC 白色                ",爱丽思幸辉国际专卖店,10387389563,888.00,385.00,1000,97,1000,10,10,IRIS,噪音很小 造型美观 质量不错 遥控方便 风扇不错 广角送风 睡眠风不错 风很柔和 底座很稳 风力很大,"【京东配送】IRIS爱丽思空气循环扇迷你电风扇家用静音台扇遥控定时摇头扇PCF-C15TC 白色,10387389563, ,3.0kg,2-8小时,五档以上,正常风、自然风,3片,无,遥控式,台扇，空气循环扇",none
"
                                    ZOLEE中联ZL12-180电风扇 迷你台式电扇家用宿舍小风扇床上风扇夹扇 单品                ",中联生活电器旗舰店,11716017536,138.00,59.00,21000,97,20000,400,200,中联（ZOLEE）,风力很大 使用方便 质量不错 安装方便 风扇不错 噪音很小 造型美观 底座很稳 颜色漂亮 风很柔和 小巧玲珑,"ZOLEE中联ZL12-180电风扇 迷你台式电扇家用宿舍小风扇床上风扇夹扇 单品,11716017536, ,1.32kg,中国大陆,ZL12-180,无定时,二档调节,正常风、自然风,3片,无,机械式,台扇",none
"
                                    TER无叶风扇/电风扇/落地扇家用冷风扇T-DFS18                ",TER旗舰店,11836755832,1399.00,499.00,200,87,100,10,10,TER,风很柔和 造型美观 使用方便 风扇不错 远程遥控 遥控方便 质量不错 噪音很小 安装方便 广角送风 安装方便 风力很大 风很柔和 使用方便 远程遥控 风扇不错,"TER无叶风扇/电风扇/落地扇家用冷风扇T-DFS18,11836755832, ,3.5kg,中国大陆,T-DFS18,2小时以下,无极变速,正常风,无叶,无,遥控式,落地扇",none
"
                                    艾美特（AIRMATE） 电风扇家用落地扇五叶遥控风扇/电风【到手价199】 黑色                ",艾美特华安专卖店,10158203830,2190.00,249.00,700,91,600,30,30,艾美特（AIRMATE）,风扇不错 风很柔和 安装方便 风力很大 使用方便 噪音很小 质量不错 遥控方便 远程遥控 底座很稳 安全节能 噪音很小 风扇不错 风力很大 造型美观,"艾美特（AIRMATE） 电风扇家用落地扇五叶遥控风扇/电风【到手价199】 黑色,10158203830, ,7.62kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                    先创（XIANCHUANG）电风扇大/工业风扇/落地扇/牛角扇大功率 【750标准款】【配加密加粗自扣网】                ",先创旗舰店,10252499036,360.00,269.00,1700,97,1600,20,30,先创（XIANCHUANG）,风扇不错 风力很大 安装方便 底座很稳 使用方便 扇网坚固 质量不错 电机好 噪音很小 安全节能 电机好 广角送风 质量不错 使用方便 安全节能 使用方便 扇网坚固 风力很大 噪音很小 质量不错 底座很稳 广角送风,"先创（XIANCHUANG）电风扇大/工业风扇/落地扇/牛角扇大功率 【750标准款】【配加密加粗自扣网】,10252499036, ,12.0kg,无定时,三档调节,正常风,3片,3级,机械式,工业扇",none
"
                                    格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时                ",格力TOSOT旗舰店,10203314990,318.00,179.00,3000,95,2900,50,80,格力（GREE）,遥控方便 质量不错 风扇不错 安装方便 造型美观 使用方便 风力很大 噪音很小 风很柔和 颜色漂亮 质量不错 安装方便 颜色漂亮 噪音很小 遥控方便,"格力（GREE）FD-4025Bah5-WG电风扇大风量/家用五叶遥控定时,10203314990, ,6.3kg,FD-4025Bah5-WG,2-8小时,三档调节,正常风,5片,1级,遥控式,落地扇",none
"
                                    美的（Midea）KYT25-17D 电风扇迷你台扇 家用台式转页扇                ",美的护理旗舰店,12574397126,299.00,119.00,300,94,300,10,9,美的,风很柔和 噪音很小 风扇不错 造型美观 使用方便 安全节能 风力很大 质量不错 电机好 底座很稳 使用方便,"美的（Midea）KYT25-17D 电风扇迷你台扇 家用台式转页扇,12574397126, ,2.2kg,中国大陆,DS070102MD003,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",none
"
                                    志高（CHIGO）FS-40-16A13 电风扇/炫彩五扇叶落地扇                 ",盛世昌业专营店,10632948074,199.00,99.00,200,94,200,10,3,志高（CHIGO）,颜色漂亮 底座很稳 噪音很小 风扇不错 质量不错 使用方便 造型美观 安装方便 广角送风 风很柔和,"志高（CHIGO）FS-40-16A13 电风扇/炫彩五扇叶落地扇 ,10632948074, ,6.3kg,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",none
"
                                    英国QG（QG）AirMax电风扇空气循环家用电扇塔扇落地办公室分享扇 白色Airmax                ",QG生活电器旗舰店,11551376410,1580.00,799.00,2000,100,2000,7,3,QG,质量不错 噪音很小 造型美观 使用方便 安装方便 风扇不错 遥控方便 底座很稳 安全节能 风很柔和 质量不错 安装方便 遥控方便 适合宝宝 造型美观 遥控方便 风很柔和 颜色漂亮 远程遥控 造型美观,"英国QG（QG）AirMax电风扇空气循环家用电扇塔扇落地办公室分享扇 白色Airmax,11551376410, ,2.45kg,2-8小时,无极变速,正常风、自然风,7片及以上,1级,遥控式,落地扇，塔扇，转页扇，台扇，空气循环扇",none
"
                                    美的（Midea）FZ10-16BRW 塔扇无叶风扇 家用电风扇 静音风扇                ",美的护理旗舰店,12964308167,1599.00,599.00,100,96,100,4,4,美的,风扇不错 噪音很小 风很柔和 质量不错 底座很稳 使用方便 安全节能 造型美观 睡眠风不错 安装方便 风很柔和 造型美观 噪音很小 安全节能 使用方便 风扇不错 噪音很小,"美的（Midea）FZ10-16BRW 塔扇无叶风扇 家用电风扇 静音风扇,12964308167, ,8.24kg,中国大陆,DS070105MD003-JD,2-8小时,五档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",none
"
                                    【今日特卖】艾美特FT70R 静音塔扇/电风扇/遥控睡眠风扇 白色                ",艾美特官方旗舰店,12415767096,999.00,419.00,300,97,300,7,4,艾美特,风很柔和 造型美观 风扇不错 安装方便 遥控方便 睡眠风不错 噪音很小 广角送风 质量不错 风力很大 睡眠风不错 噪音很小 风很柔和 风扇不错 安装方便,"【今日特卖】艾美特FT70R 静音塔扇/电风扇/遥控睡眠风扇 白色,12415767096, ,6.32kg,中国大陆,FT70R,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",none
"
                                    艾美特(Airmate)电风扇塔扇FT41R 无叶风扇大厦风扇 静音 遥控家用香熏盒                ",艾美特子云专卖店,1536383961,1029.00,299.00,3500,94,3300,100,80,艾美特（AIRMATE）,风很柔和 使用方便 安装方便 造型美观 遥控方便 风扇不错 质量不错 颜色漂亮 噪音很小 远程遥控 质量不错 质量不错,"艾美特(Airmate)电风扇塔扇FT41R 无叶风扇大厦风扇 静音 遥控家用香熏盒,1536383961, ,5.1kg,FT41R,2-8小时,三档调节,正常风,无叶,无,遥控式,塔扇",none
"
                                    艾美特（AIRMATE）FZ5610【全新升级】1.4米56寸电风扇吊扇 大风量电扇工扇 白色                ",艾美特华安专卖店,10158057235,1490.00,149.00,2000,92,1900,80,90,艾美特（AIRMATE）,风扇不错 风力很大 质量不错 安装方便 造型美观 噪音很小 电机好 使用方便 风很柔和 安全节能 造型美观 使用方便 质量不错 风扇不错 广角送风 质量不错 造型美观 电机好,"艾美特（AIRMATE）FZ5610【全新升级】1.4米56寸电风扇吊扇 大风量电扇工扇 白色,10158057235, ,5.2kg,FZ5610,无定时,无极变速,正常风,3片,3级,机械式,吊扇",none
"
                                    格力(GREE)落地扇电风扇遥控家用智能7叶静音FD-4042Bg7-WG 白                ",格力威铭专卖店,10221881337,699.00,299.00,3100,96,3000,60,50,格力（GREE）,风扇不错 质量不错 噪音很小 造型美观 风力很大 安装方便 遥控方便 使用方便 底座很稳 风很柔和 底座很稳 遥控方便 风扇不错,"格力(GREE)落地扇电风扇遥控家用智能7叶静音FD-4042Bg7-WG 白,10221881337, ,8.59kg,FD-4042Bg7-WG,2-8小时,四档调节,正常风,7片及以上,1级,遥控式,落地扇",none
"
                                    格力(GREE) 电风扇落地扇家用静音定时5叶大风量FD-4009-WG 白色 5叶机械                ",格力智购专卖店,12401517047,299.00,159.00,100,92,100,5,5,格力（GREE）,噪音很小 安装方便 使用方便 风扇不错 风力很大 底座很稳 风很柔和 睡眠风不错,"格力(GREE) 电风扇落地扇家用静音定时5叶大风量FD-4009-WG 白色 5叶机械,12401517047, ,9.0kg,中国大陆,FD-4009-WG,2小时以下,三档调节,正常风、自然风、睡眠风,5片,1级,机械式,落地扇",none
"
                                    美的（Midea）电风扇转页扇KYT30-15AW宿舍台式鸿运扇家用台扇12寸电扇包邮                ",美的绿灯侠专卖店,12050214119,169.00,159.00,400,96,300,5,10,美的（Midea）,使用方便 风扇不错 风很柔和 噪音很小 颜色漂亮 底座很稳 扇网坚固 安全节能 质量不错 广角送风,"美的（Midea）电风扇转页扇KYT30-15AW宿舍台式鸿运扇家用台扇12寸电扇包邮,12050214119, ,3.3kg,中国大陆,KYT30-15AW,2小时以下,四档调节,正常风,5片,1级,机械式,转页扇",none
