p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,Y_type
"
                                    微狼 学生宿舍台式落地电风扇办公室家用静音迷你小风扇摇头甲壳虫台扇 红甲壳虫                ",耐力礼品专营店,12375352038,398.00,128.00,2,100,2,0,0,微狼（WEIWOLF）,,"微狼 学生宿舍台式落地电风扇办公室家用静音迷你小风扇摇头甲壳虫台扇 红甲壳虫,12375352038, ,200.00g,2小时以下,三档调节,正常风、自然风、睡眠风,3片,3级,机械式,台扇",none
"
                                    赛亿电风扇手持USB风扇雨伞壁挂小风扇迷你充电蓄电池风扇 蓝色                ",微智礼品专营店,12376314828,399.00,199.00,2,100,2,0,0,赛亿（Shinee）,,"赛亿电风扇手持USB风扇雨伞壁挂小风扇迷你充电蓄电池风扇 蓝色,12376314828, ,400.00g,中国大陆,FSC-01,无定时,无极变速,正常风、自然风,4片,2级,机械式,USB风扇",none
"
                                    赛亿电风扇定时升降转页扇家用落地扇鸿运扇办公风扇 机械 转页扇-白色                ",微智礼品专营店,12377321161,699.00,299.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇定时升降转页扇家用落地扇鸿运扇办公风扇 机械 转页扇-白色,12377321161, ,3.45kg,中国大陆,KYTS30-6,2小时以下,四档调节,正常风、自然风,5片,2级,机械式,落地扇",none
"
                                    赛亿电风扇台式转页扇便携式定时鸿运扇家用风扇 白色                ",微智礼品专营店,12377534322,999.00,299.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇台式转页扇便携式定时鸿运扇家用风扇 白色,12377534322, ,2.5kg,中国大陆,KYT30-6	,2小时以下,四档调节,正常风,5片,1级,机械式,台扇",none
"
                                    赛亿电风扇台式转页扇卡通鸿运扇DIY风扇家用学生办公风扇 蓝色                ",微智礼品专营店,12377658089,999.00,209.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇台式转页扇卡通鸿运扇DIY风扇家用学生办公风扇 蓝色,12377658089, ,1.59kg,中国大陆,KYT25-5	,无定时,三档调节,正常风、自然风,5片,无,机械式,台扇",none
"
                                    赛亿电风扇台式转页扇落地鸿运扇风扇品牌风扇 绿色                ",微智礼品专营店,12377906138,499.00,209.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇台式转页扇落地鸿运扇风扇品牌风扇 绿色,12377906138, ,1.8kg,中国大陆,KYT25-1,2小时以下,三档调节,正常风、自然风,5片,1级,机械式,台扇",none
"
                                    电风扇家用摇头壁扇宿舍卧室节能工程风扇 壁挂扇 黑色                ",微智礼品专营店,12378186722,699.00,299.00,0,100,0,0,0,赛亿（Shinee）,,"电风扇家用摇头壁扇宿舍卧室节能工程风扇 壁挂扇 黑色,12378186722, ,5.8kg,中国大陆,FW40-1	,无定时,三档调节,正常风、自然风,5片,1级,机械式,壁扇",none
"
                                    赛亿电风扇小型迷你USB台式扇 宿舍床头扇办公学生小风扇 天蓝色                ",微智礼品专营店,12378257436,269.00,89.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇小型迷你USB台式扇 宿舍床头扇办公学生小风扇 天蓝色,12378257436, ,0.523kg,中国大陆,FTB6-02	,无定时,二档调节,正常风、自然风,4片,1级,机械式,USB风扇",none
"
                                    赛亿电风扇小型迷你USB台夹扇宿舍床头扇办公学生台夹风扇 蓝色                ",微智礼品专营店,12378341690,499.00,199.00,1,100,1,0,0,赛亿（Shinee）,,"赛亿电风扇小型迷你USB台夹扇宿舍床头扇办公学生台夹风扇 蓝色,12378341690, ,2.4kg,中国大陆,FTB6-01,无定时,二档调节,正常风,3片,无,机械式,USB风扇",none
"
                                    赛亿电风扇摇头风扇遥控定时静音落地扇家用台地扇 黑色FS40-3                ",微智礼品专营店,12378703672,699.00,249.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇摇头风扇遥控定时静音落地扇家用台地扇 黑色FS40-3,12378703672, ,6.6kg,中国大陆,FS40-3	,2小时以下,三档调节,正常风,5片,2级,机械式,落地扇",none
