creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2016/11/15 19:47,"""安装师傅服务到位",4,TRUE,"""j***i""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/11/11 0:03,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/11/15 19:47,"""刚开始买了奥克斯，觉得便宜，后来还是换了格力，觉得质量更靠谱，总体不错；另外，京东安装服务比以前规范专业多了，点赞！",2,TRUE,"""玛***2""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/15 16:01,5,"""来自京东iPhone客户端""","""PLUS会员""","""江苏"""
2017/3/17 21:59,"""速度 京东购物安全放心 粮食现在也基本就这里了 希望一如既往的好 要对得起大家的信任 做好中国好电商！",21,TRUE,"""哈***爱""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/24 13:44,5,"""来自京东iPhone客户端""","""PLUS会员""",""""""
2017/3/17 11:03,"""昨天下的单，京东的速度很快，今天就到了，维修人员一清早打电话给我们，说空调一到就马上给他打电话，中午12点到了，维修人员立马过来，一个小时完工，给个五星好评。",1,TRUE,"""依***总""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/19 16:54,5,"""来自京东iPhone客户端""","""银牌会员""","""广东"""
2017/2/20 14:55,"""这次服务很满意",5,TRUE,"""E***D""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/16 17:50,5,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017/3/21 16:48,"""京东售后真给力",11,FALSE,"""I***l""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/2/17 20:03,5,"""来自微信购物""","""钻石会员""",""""""
2017/2/28 17:59,"""冷、静星，大爱！值得信赖的商家同产品，送货上们，安装人员非常专业，很有责任心！",6,TRUE,"""j***i""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/18 23:45,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/4/24 0:53,"""机子非常给力，出风很安静，制热效果好，就是制热得有三至五分钟的预热服务！说是制冷很快。希望夏天制冷给力，好评！",3,TRUE,"""回***9""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2016/11/11 0:00,5,"""来自京东Android客户端""","""银牌会员""","""山东"""
2016/11/14 21:25,"""不错，空调不错，安装师傅安装到位",1,TRUE,"""jd_000372101""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/4/14 7:40,5,"""来自京东iPad客户端""","""钻石会员""",""""""
2017/3/23 19:30,"""京东就是给力今天下单今天送货加安装",0,TRUE,"""j***x""","""凉之静""","""格力（GREE）大1匹 变频 凉之静Ⅱ 二级能效 微联智能 壁挂式冷暖空调 金色 KFR-26GW/(265971)FNCaD-A2""",2017/3/23 4:15,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
