creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2017-02-28 18:29:51,"""家里用着格力空调，居然格力也有手机，基于对格力品牌的认为，买了一台格力手机，第一天下单第二天就收到货，京东物流没得说，拿到手格，感觉一下直的不错，6寸大屏、64的存储空间，玩手游太给力了，一个字爽，电池很耐用，玩了几个小时的游戏都没有问题，没电后一个小时就把电充满了，其它功能有待挖掘。",3,false,"""l***r""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-29 22:13:43,5,"""""","""金牌会员""",""""""
2017-04-11 10:09:17,"""宝贝收到了，物流很快。打开看了一下，外包装很精致、美观。手机一定很好喽。等试用了再来分享。",1,true,"""j***m""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-10 15:51:51,5,"""来自京东Android客户端""","""银牌会员""",""""""
2017-04-11 10:09:17,"""手机是正品，不过觉得这个价买这样的配置有些不值",2,true,"""j***8""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-13 08:35:15,4,"""来自京东Android客户端""","""银牌会员""",""""""
2017-03-15 15:35:10,"""包装大气上档次，2k大屏幕，手机游戏看视频舒服",1,true,"""f***2""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-23 14:33:45,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-02-24 17:06:37,"""充电非常快，洗个碗的功夫，充电充满了，真心不错",3,true,"""j***1""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-21 19:15:06,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-02-25 09:11:07,"""试用几天了，感觉还不错，特别2K屏很爽，实物比图片好看。支持格力！支持中国造！",9,true,"""z***0""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-27 20:02:03,5,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-08 18:14:12,"""老爸想要个智能手机玩微信，没想到这个手机居然还有收音机功能，老爸早上晨运再也不用背个收音机了",3,true,"""x***o""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-21 20:34:24,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017-02-24 13:58:26,"""手机很大、不错的！",11,true,"""猪***3""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-05-13 16:29:17,5,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-05-24 16:14:36,"""包装很实在，简单巧妙。各方面都不错，只是没有玉照，略失望。",1,false,"""1***0""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-22 15:34:33,5,"""""","""银牌会员""",""""""
2017-02-23 18:02:06,"""刚刚上手，整体感觉非常不错，正在下载应用，希望得心应手，越用越好用！",5,false,"""朦***俺""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-22 12:15:08,5,"""""","""金牌会员""",""""""
2017-04-19 16:42:35,"""也是冲着格力的牌子来买的，觉得还是不错的，只是有点贵！！性能很满意！",6,false,"""蓝***了""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-04-13 04:03:01,5,"""""","""钻石会员""",""""""
2017-03-07 10:03:13,"""很好的一部手机",1,false,"""周***敏""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-03-06 10:47:26,5,"""""","""银牌会员""",""""""
2017-03-07 10:03:13,"""挺不错的，买回来就在用。很大气，很不错，系统很干净没有预装，我很喜欢！",3,true,"""j***j""","""""","""格力（GREE）手机2代 4GB+64GB 典雅银  移动联通电信4G手机""",2017-02-27 15:34:29,5,"""来自京东Android客户端""","""银牌会员""",""""""
