creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince,
2017/1/19 18:34,"""格力空调的品质还是不错的，京东送货安装服务也很到位，使用过后空调整体效果理想，希望京东越做越好。",18,TRUE,"""9***星""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017/1/19 18:34,"""发货速度快，服务好！",18,FALSE,"""e***9""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""金牌会员""","""湖南"""
2017/1/19 18:12,"""配送超级给力，不错我们家里电器都是京东上买的，这个空调制热也不错、",18,TRUE,"""j***d""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""北京"""
2017/1/19 18:12,"""很快，很迅速，态度也很好。五星！",18,TRUE,"""j***0""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""","""四川"""
2017/1/19 17:51,"""安装有收费 京东客服回答发票问题不清楚 还没有收到纸质发票",17,TRUE,"""j***n""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017/1/19 17:51,"""摩羯聚集在",17,TRUE,"""力***像""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017/1/19 17:30,"""挺好的",17,TRUE,"""j***l""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017/1/19 17:20,"""不错",17,TRUE,"""缪***戴""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""江苏"""
2017/1/19 17:17,"""真的很好，要不单位太冷了，还很省电",17,TRUE,"""j***w""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""","""辽宁"""
2017/1/19 17:15,"""45656",17,FALSE,"""宇***的""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""PLUS会员""","""山东"""
2016/4/17 18:26,"""不错，东西很好。国货很好",18,FALSE,"""天空的月""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""""","""PLUS会员""","""四川"""
2016/4/17 18:12,"""很好",18,TRUE,"""茶***萌""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""","""江西"""
2016/4/17 17:53,"""空调样式还可以",17,TRUE,"""俞***-""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""江苏"""
2016/4/17 17:53,"""大品牌值得信赖，安装师傅很好",17,TRUE,"""1***o""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""","""江苏"""
2016/4/17 17:17,"""这是给老人买的，还没有使用，安装时出现了一点不开心的事情。不过还是满意这次购物。",17,TRUE,"""我***0""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2016/4/17 16:26,"""静音，制冷也很好",16,TRUE,"""j***0""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""","""广东"""
2016/4/17 16:20,"""格力空调，大品牌，值得依赖。",16,FALSE,"""0***店""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""""","""企业会员""",""""""
2016/4/17 16:07,"""服务好，送货上门",16,TRUE,"""j***u""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2016/4/17 15:45,"""很好很好很好",15,TRUE,"""0***i""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,2,"""来自京东Android客户端""","""钻石会员""",""""""
2016/4/17 15:11,"""格力空调的服务是没得说的 质量也是过硬的  京东送货也是很速度的 只是价格不知道够不够优惠",15,TRUE,"""o***o""","""正1.5匹""","""【新品统一型号】品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""","""河南"""
2016/7/25 23:46,"""很好",23,TRUE,"""j***9""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""PLUS会员""","""北京"""
2016/7/25 23:36,"""还不错。好好好好好，",23,TRUE,"""j***6""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2016/7/25 23:36,"""制冷效果不错，就是贵了，真的贵啊",23,TRUE,"""l***2""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""广东"""
2016/7/25 23:27,"""挺好好的   格力大品牌",23,TRUE,"""j***0""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2016/7/25 23:27,"""很好",23,TRUE,"""j***d""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2016/7/25 23:26,"""不错，老妈喜欢",23,TRUE,"""d***5""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""河南"""
2016/7/25 23:23,"""送货速度，安装师傅很负责，效果用后再评",23,FALSE,"""x***8""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""金牌会员""","""上海"""
2016/7/25 23:22,"""好！",23,TRUE,"""1***4""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""山东"""
2016/7/25 23:12,"""买了三个，都是互相推荐的，用着很好",23,TRUE,"""j***5""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""PLUS会员""","""陕西"""
2016/7/25 23:02,"""这个差评是给京东的，我购买当天京东在搞活动，比前一天提了50元，但是写着送50元话费，就买了。买完客服不承认有这个话费了。我不缺50元，但这种不诚信的经营方式使人气愤。以后再也不会光顾JD了。",23,TRUE,"""格力空调GREE""","""正1.5匹""","""品圆变频挂机""",FALSE,1,5,"""来自京东Android客户端""","""注册会员""",""""""
2016/8/12 14:18,"""非常不错，安装也很给力",14,TRUE,"""资***员""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""广东"""
2017/1/9 12:33,"""还可以还可以还可以还可以",12,FALSE,"""m***3""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""钻石会员""",""""""
2017/1/9 12:33,"""可以，今天刚安装好，服务好",12,TRUE,"""李***乐""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""广东"""
2017/1/9 12:28,"""信赖",12,TRUE,"""j***k""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/1/9 12:25,"""很好 一如既往满意～",12,TRUE,"""s***5""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""上海"""
2017/1/9 12:21,"""好",12,FALSE,"""j***m""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""金牌会员""","""广东"""
2017/1/9 12:18,"""第一次在京东上买东西，感觉还不错。东西还是很好",12,TRUE,"""j***w""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017/1/9 11:53,"""用的外机有异响",11,TRUE,"""y***e""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017/1/9 11:48,"""看的是不要收取任何费用的，安装了又要收取打孔费了，外机支架费了，无语了这不是骗人吗",11,TRUE,"""格力服务中心""","""正1.5匹""","""品圆变频挂机""",FALSE,1,0,"""来自京东Android客户端""","""铜牌会员""",""""""
2017/1/10 10:13,"""不错，快递和安装服务非常好",10,TRUE,"""w***o""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""江苏"""
2015/11/30 10:06,"""安装师傅很细心，空调很漂亮，很喜欢",10,FALSE,"""2111972""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""""","""钻石会员""",""""""
2015/11/30 10:19,"""送货很快，格力空调还是比较放心买了3台，安装师傅都很专业，速度很快就装好了，比较满意的！！！",10,FALSE,"""边***8""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""""","""金牌会员""","""广东"""
2015/11/30 9:47,"""一直喜欢在京东购买大家电，服务质量有保障，客服追踪安装非常负责，安装空调的师傅很负责，使用讲解也很全面，以后会继续支持！",9,FALSE,"""j***7""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""""","""银牌会员""","""北京"""
2015/11/30 9:23,"""不错哦 快递非常迅速 到位",9,TRUE,"""疯***蛙""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,1,"""来自京东iPhone客户端""","""钻石会员""","""上海"""
2015/11/30 8:56,"""非常不错，服务很好\n",8,TRUE,"""j***0""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2015/11/30 8:43,"""双十一买的，很实惠，一如既往的支持格力，支持京东，棒棒的！",8,TRUE,"""j***a""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""上海"""
2015/11/29 23:47,"""师傅安装好，不锈外架收80元/幅，不知是否合理？",23,TRUE,"""w***l""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2015/11/29 23:12,"""东西不错",23,TRUE,"""j***i""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""","""河北"""
