creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2016/7/20 14:18,"""安装师傅特给力，大中午顶着高温帮我把空调安装好，给个大赞，谢谢师傅！",2,FALSE,"""c***1""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/18 10:44,5,"""""","""银牌会员""","""广东"""
2016/7/20 14:14,"""好。",1,TRUE,"""z***5""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/19 12:15,5,"""来自京东Android客户端""","""银牌会员""","""广东"""
2016/7/20 14:19,"""不错不错不错不错哦！",8,TRUE,"""j***e""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/12 10:56,5,"""来自京东Android客户端""","""钻石会员""",""""""
2016/7/20 14:06,"""服务好，安装快，机器好，不错",2,FALSE,"""p***2""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/18 11:32,5,"""""","""钻石会员""","""四川"""
2016/7/20 14:02,"""还没安装，不知道怎么样！",31,FALSE,"""c***L""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/19 0:06,5,"""""","""钻石会员""",""""""
2016/7/20 14:01,"""好",7,TRUE,"""j***a""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/13 15:16,5,"""来自京东iPhone客户端""","""钻石会员""","""北京"""
2016/7/20 13:57,"""挺好！！！！",2,TRUE,"""j***y""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/18 21:15,5,"""来自京东Android客户端""","""PLUS会员[试用]""",""""""
2016/7/20 13:56,"""是正品，安装也很及时！不错！",1,TRUE,"""x***m""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/7/19 10:05,5,"""来自京东Android客户端""","""钻石会员""","""四川"""
2016/7/20 13:55,"""配送员服务很好",32,TRUE,"""0***店""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 0:08,5,"""来自京东Android客户端""","""企业会员""","""北京"""
2016/7/20 13:53,"""从购买到送货上门还有师傅来安装都非常专业，一直有客服跟进询问，大家电选择京东没错，空调制冷效果很好！",22,FALSE,"""3***宾""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 16:15,5,"""""","""钻石会员""",""""""
2016/6/30 15:36,"""好,服务态度好",12,FALSE,"""V***a""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 22:27,5,"""""","""钻石会员""","""广东"""
2016/6/30 15:36,"""不错，安装师傅也不错",2,TRUE,"""3***9""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 0:09,5,"""来自京东iPhone客户端""","""银牌会员""",""""""
2016/6/30 15:35,"""不错产品非常好   制冷快",2,TRUE,"""j***7""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 21:06,5,"""来自京东iPhone客户端""","""金牌会员""","""广东"""
2016/6/30 15:35,"""非常好，送货快，安装快",2,TRUE,"""t***u""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 0:20,5,"""来自京东Android客户端""","""钻石会员""",""""""
2016/6/30 15:34,"""还没装，用了再来评价！",12,TRUE,"""f***7""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 13:28,5,"""来自京东iPhone客户端""","""金牌会员""","""广东"""
2016/6/30 15:33,"""好",14,TRUE,"""7***武""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/16 0:33,5,"""来自京东Android客户端""","""钻石会员""",""""""
2016/6/30 15:31,"""非常喜欢，空调效果非常好，师傅很细心",2,TRUE,"""j***l""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 1:11,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/6/30 15:31,"""非常好",2,TRUE,"""宫***0""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 13:23,5,"""来自京东Android客户端""","""金牌会员""","""黑龙江"""
2016/6/30 15:28,"""挺好的",14,TRUE,"""a***0""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/16 14:10,5,"""来自京东iPhone客户端""","""金牌会员""","""江西"""
2016/6/30 15:25,"""发货速度快，服务质量好！京东给力！",2,FALSE,"""j***a""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/28 7:04,5,"""来自微信购物""","""银牌会员""","""湖南"""
2016/7/1 18:10,"""不错的选择",34,TRUE,"""蓓***帽""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/11/11 21:39,5,"""来自京东Android客户端""","""银牌会员""","""陕西"""
2015/12/15 0:13,"""送货快、售后服务好，就是加长管有点贵。",3,FALSE,"""z***8""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 0:41,5,"""""","""银牌会员""",""""""
2015/12/15 0:00,"""很好很好很好很好很好",5,TRUE,"""K***y""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:02,5,"""来自京东Android客户端""","""PLUS会员""","""广东"""
2015/12/14 23:17,"""不愧是民族的骄傲～非常满意～",4,TRUE,"""m***a""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 20:50,5,"""来自京东Android客户端""","""银牌会员""","""天津"""
2015/12/14 22:35,"""不错哦，性价比高，送货安装都很快，空调还是格力好！",33,TRUE,"""f***2""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/11/11 23:32,5,"""来自京东iPhone客户端""","""金牌会员""","""广东"""
